cargo,nome empresa,local,link
Trabalhe de Casa Desenvolvedor Pleno Python Backend / Pesquisa + Desenvolvimento,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/trabalhe-de-casa-desenvolvedor-pleno-python-backend-pesquisa-plus-desenvolvimento/31447226/
Work From Home Python Tech Lead / Research + Development,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-python-tech-lead-research-plus-development/31446564/
Trabalhe de Casa Desenvolvedor Sênior Python Backend / Pesquisa + Desenvolvimento,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/trabalhe-de-casa-desenvolvedor-senior-python-backend-pesquisa-plus-desenvolvimento/31446590/
Trabalhe de Casa Desenvolvedor Backend Júnior Python / Pesquisa + Desenvolvimento,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/trabalhe-de-casa-desenvolvedor-backend-junior-python-pesquisa-plus-desenvolvimento/31446543/
Work From Home Python Backend Tech Lead / R + D,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-python-backend-tech-lead-r-plus-d/31446557/
Trabalhe de Casa Python Backend Tech Lead / Pesquisa e Desenvolvimento,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/trabalhe-de-casa-python-backend-tech-lead-pesquisa-e-desenvolvimento/31446558/
"Desenvolvedor Back-end Sênior - NodeJS, Stripe, Amazon AWS",GO OLIVIERI APLICATIVOS E SOFTWARES,São Bernardo do Campo - SP (1),https://www.catho.com.br/vagas/desenvolvedor-back-end-senior-nodejs-stripe-amazon-aws/31143462/
Work From Home Semi Senior Python Backend Developer / R + D,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-semi-senior-python-backend-developer-r-plus-d/31447225/
Work From Home Senior Python Backend Developer / Research + Development,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-senior-python-backend-developer-research-plus-development/31446589/
Work From Home Junior Python Backend Developer / Research + Development,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-junior-python-backend-developer-research-plus-development/31446541/
Desenvolvedor IA (Python / Visão Computacional),INTEGRAR CAPACITACAO E DESENVOLVIMENTO PROFISSIONAL LTDA,Ribeirão Preto - SP (1),https://www.catho.com.br/vagas/desenvolvedor-ia-python-visao-computacional/31416725/
Desenvolvedor IA (Python / Visão Computacional),INTEGRAR CAPACITACAO E DESENVOLVIMENTO PROFISSIONAL LTDA,Ribeirão Preto - SP (1),https://www.catho.com.br/vagas/desenvolvedor-ia-python-visao-computacional/31416727/
Tech Lead Python - Hibrido Campinas,CODE GROUP,Campinas - SP (1),https://www.catho.com.br/vagas/tech-lead-python-hibrido-campinas/31336011/
